numero-do-processo,local,tipo-manifestacao,conduta,juizo,data-do-juizo,decisao,processo-administrativo-disciplinar,fase-do-processo,penalidade
23208.001132/2023-22,Ribeirão das Neves,Denúncia,Inobservância de norma regulamentar,174.0,2023-12-26,Arquivamento,,,
23208.002219/2023-17,Ouro Preto,Denúncia,Suposto Assédio Sexual,175.0,2023-12-27,Arquivamento,,,
23208.001839/2023-39,Bambuí,Denúncia,Manter conduta compatível com a Moralidade Administrativa,176.0,2023-12-27,Arquivamento,,,
23208.002204/2023-59,Ibirité,Denúncia,Inobservância de norma regulamentar,177.0,2023-12-27,Arquivamento,,,
23208.001780/2023-89,Santa Luzia,Denúncia,Falta de Urbanidade,178.0,2023-12-28,Arquivamento,,,
23208.000593/2023-88,Bambuí,Denúncia,Falta de Urbanidade,179.0,2024-01-02,Arquivamento,,,
23208.000656/2023-04,Governador Valadares,Denúncia,Inobservância de norma regulamentar,180.0,2024-01-02,Arquivamento,,,
23208.000434/2023-83,Bambuí,Denúncia,Inobservância de norma regulamentar,181.0,2024-01-02,Arquivamento,,,
23208.002877/2023-17,Ouro Branco,Representação,Inobservância de norma regulamentar,182.0,2024-01-12,Arquivamento,,,
23208.002618/2023-88,Sabará,Denúncia,Inobservância de norma regulamentar,183.0,2024-02-05,Arquivamento,,,
23208.003240/2023-30,Formiga ,Representação,Falta de Urbanidade,184.0,2024-02-05,Arquivamento,,,
23208.003145/2023-36,Sabará,Denúncia,Inobservância de norma regulamentar,185.0,2024-05-15,Arquivamento,,,
23208.000430/2023-03,Governador Valadares,Denúncia,Descumprimento de TAC,186.0,2024-02-20,Abertura de PAD ,23208.000746/2024-78,Em andamento,
23208.003324/2023-73,Reitoria,Denúncia,Inobservância de norma regulamentar,187.0,2024-05-08,Celebração de TAC,,,
23208.003940/2023-24,Sabará,Denúncia,Inobservância de norma regulamentar,188.0,2024-05-15,Celebração de TAC,,,
23208.002218/2023-72,Ponte Nova,Denúncia,Inobservância de norma regulamentar,189.0,2024-05-15,Arquivamento,,,
23208.003397/2023-65,São João Evangelista,Denúncia,Inobservância de norma regulamentar,190.0,2024-04-24,Arquivamento,,,
23208.001536/2023-16,Ouro Preto,Representação,Inobservância de norma regulamentar,193.0,2024-06-26,Arquivamento,,,
23208.003360/2023-37,Reitoria,Denúncia,Inobservância de norma regulamentar,194.0,2024-08-16,Arquivamento,,,
23208.002891/2023-11,Betim,Denúncia,Inobservância de norma regulamentar,196.0,2024-05-13,Arquivamento,,,
23208.003416/2023-53,Ouro Branco,Denúncia,Uso de recursos indevidos,,,Em andamento,,,
23208.001126/2023-75,Congonhas,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.003115/2023-20,Betim,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.002352/2023-73,São João Evangelista,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.002841/2023-25,Reitoria,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.002890/2023-68,Sabará,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.002022/2023-88,Bambuí,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.002353/2023-18,Bambuí,Denúncia,Falta de Urbanidade,,,Em andamento,,,
23208.002029/2023-08,Ribeirão das Neves,Denúncia,Falta de Urbanidade,,,Em andamento,,,
23208.002217/2023-28,Bambui,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.002879/2023-06,Betim,Denúncia,Falta de Urbanidade,,,Em andamento,,,
23208.002581/2023-98,Conselheiro Lafaiete,Denúncia,Falta de Urbanidade,,,Em andamento,,,
23208.002023/2023-22,Ouro Branco,Denúncia,Suposto Assédio Sexual,,,Em andamento,,,
23208.003325/2023-18,Santa Luzia,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.003196/2023-68,Ponte Nova ,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.003102/2023-51,Piumhi,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.003930/2023-99,Ribeirão das Neves,Denúncia,Suposto Assédio Moral,,,Em andamento,,,
23208.003835/2023-95,Ouro Branco,Denúncia,Falta de Urbanidade,,,Em andamento,,,
23208.004121/2023-02,Ouro Branco ,Denúncia,Suposta Intolerância Religiosa,,,Em andamento,,,
23208.003592/2023-95,Ouro Preto ,Denúncia,Falta de Urbanidade,,,Em andamento,,,
23208.001640/2023-19,Santa Luzia,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.003013/2023-12,Sábara,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.003401/2023-95,Sabará,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.003417/2023-06,Governador Valadares,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.003017/2023-92,Betim,Denúncia,Manter conduta compatível com a Moralidade Administrativa,,,Em andamento,,,
23208.002216/2023-83,Reitoria,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.002211/2023-51,São João Evangelista,Denúncia,Falta de Urbanidade,,,Em andamento,,,
23208.002215/2023-39,Reitoria,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.002207/2023-92,Betim,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.003006/2023-11,Ouro Preto ,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.002206/2023-48,Ribeirão das Neves,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.002410/2023-69,Ibirite ,Denúncia,Falta de Urbanidade,,,Em andamento,,,
23208.004452/2023-34,Ibirité,Denúncia,Falta de Urbanidade,,,Em andamento,,,
23208.004453/2023-89,Ipatinga,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.004454/2023-23,Ponte Nova ,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.003836/2023-30,São João Evangelista,Denúncia,Falta de Urbanidade,,,Em andamento,,,
23208.003772/2023-77,Reitoria,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.003547/2023-31,Ouro Branco,Denúncia,Falta de Urbanidade,,,Em andamento,,,
23208.003464/2023-41,Ibirité,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.003337/2023-42,Governador Valadares,Denúncia,Falta de Urbanidade,,,Em andamento,,,
23208.004553/2023-13,Sabará,Denúncia,Manter conduta compatível com a Moralidade Administrativa,,,Em andamento,,,
23208.004554/2023-50,Ponte Nova ,Denúncia,Inobservância de norma regulamentar,,,Em andamento,,,
23208.002401/2023-78,Bambuí,Denúncia,Manter conduta compatível com a Moralidade Administrativa,,,Em andamento,,,
