numero-do-processo,local,tipo-manifestacao,conduta,juizo,data-do-juizo,decisao,processo-administrativo-disciplinar,fase-do-processo,penalidade
23208.002334/2022-19,Sabará,Denúncia,Uso irregular do patrimônio público,135.0,2022-12-06,Arquivamento,,,
23208.004607/2022-51,Santa Luzia,Representação,Inobservância de norma regulamentar,136.0,2022-12-13,Arquivamento,,,
3208.004601/2022-84,Não informado,Denúncia,Inobservância de norma regulamentar,137.0,2022-12-15,Arquivamento,,,
23208.004596/2022-18,Sabará/Betim,Denúncia,Uso irregular do patrimônio público,138.0,2022-12-15,Arquivamento,,,
23208.003298/2022-01,Ouro Preto,Denúncia,Inobservância de norma regulamentar,139.0,2023-01-06,Arquivamento,,,
23208.004237/2022-52,Sabará,Representação,Suposto Assédio Moral,140.0,2023-01-06,Arquivamento,,,
23208.000468/2022-97,São João Evangelista,Representação,Inobservância de norma regulamentar,,2023-06-14,Arquivamento por Despacho,,,
23208.002819/2022-02,Ribeirão das Neves,Denúncia,Suposto Assédio Moral,142.0,2023-02-16,Encaminhado Comissão de Ética,,,
23208.002986/2022-45,Santa Luzia,Representação,Falta de urbanidade e manifestação de desapreço no ambiente de trabalho,143.0,2023-02-15,Abertura de PAD ,23208.000657/2023-41,Instrução ,
23208.003745/2022-13,Bambuí,Representação,Falta de Urbanidade ,144.0,2023-03-09,Arquivamento,,,
23208.004241/2022-11,Govenador Valadares,CGU,Inobservância de norma regulamentar,145.0,2023-03-09,Arquivamento,,,
23208.004308/2022-17,Ipatinga,Representação,Inobservância de norma regulamentar,146.0,2023-03-09,Abertura de PAD ,23208.001177/2023-05,Instrução ,
23208.004240/2022-76,Bambuí,CGU,Inobservância de norma regulamentar,147.0,2023-03-09,Celebração de TAC,,,
23208.004243/2022-18,Reitoria,CGU,Inobservância de norma regulamentar,148.0,2023-04-12,Arquivamento,,,
23208.004600/2022-30,Sabará,Representação,Acúmulo ilegal de cargo,149.0,2023-04-12,Abertura de PAD ,23208.001337/2023-16,Instrução ,
23208.004613/2022-17,Ouro Branco,Denúncia,Suposto Assédio Moral,150.0,2023-04-12,Encaminhado Comissão de Ética,,,
23208.004346/2022-70,Congonhas,Representação,Suposto Assédio Sexual,151.0,2023-04-17,Abertura de PAD ,23208.001410/2023-41,Instrução ,
23208.004332/2022-56,Bambuí,Representação,Suposto Assédio Moral,153.0,2023-05-22,Celebração de TAC,,,
23208.003494/2022-77,Sabará,Denúncia,Falta de dedicação e presteza nas atribuições do cargo,155.0,2023-07-19,Arquivamento,,,
23208.004123/2022-11,Conselheiro Lafaiete,Denúncia,Falta de dedicação e presteza nas atribuições do cargo,157.0,2023-07-19,Arquvamento,,,
23208.004598/2022-07,Congonhas,Denúnia,Falta de urbanidade e manifestação de desapreço no ambiente de trabalho,162.0,2023-09-12,Celebração de TAC,,,
23208.001786/2022-75,Ribeirão das Neves,Denúncia,Inobservância de norma regulamentar,,2023-02-15,Arquivamento por Despacho,,,
23208.004718/2022-68,Itabirito,Denúncia,Suposto Assédio Moral,171.0,2024-01-03,Celebração de TAC,,,
